loss,accuracy,val_loss,val_accuracy,lr
0.7445549964904785,0.7329038381576538,0.449933260679245,0.8298736214637756,1e-06
0.7093204855918884,0.7440940141677856,0.5317004323005676,0.8127256035804749,1e-06
0.6894233226776123,0.7507629990577698,0.43010297417640686,0.8361913561820984,1e-06
0.6876784563064575,0.7500847578048706,0.40795186161994934,0.8452166318893433,1e-06
0.6756106019020081,0.7573188543319702,0.3965107798576355,0.862364649772644,1e-06
0.6602460741996765,0.7602577209472656,0.41613659262657166,0.8501805067062378,1e-06
0.6527249217033386,0.7602577209472656,0.3818061053752899,0.8578519821166992,1e-06
0.6349166035652161,0.7738216519355774,0.4363192617893219,0.8357400894165039,1e-06
0.6270040273666382,0.7722391486167908,0.4250050485134125,0.8438628315925598,1e-06
0.623707115650177,0.7800384163856506,0.3523732125759125,0.8709385991096497,5e-07
0.6250050663948059,0.7717870473861694,0.40288686752319336,0.8452166318893433,5e-07
0.6161029934883118,0.7758561968803406,0.388126403093338,0.8578519821166992,5e-07
0.6120402216911316,0.7818469405174255,0.36211636662483215,0.8704873919487,2.5e-07
0.6059669256210327,0.785011887550354,0.36515215039253235,0.8673285245895386,2.5e-07
0.6080074310302734,0.7803775072097778,0.3463086783885956,0.8722923994064331,1.25e-07
0.6071875691413879,0.780829668045044,0.3537425100803375,0.8700361251831055,1.25e-07
0.6041305661201477,0.7868204116821289,0.34821030497550964,0.8704873919487,1.25e-07
0.6140198111534119,0.7826381921768188,0.34676817059516907,0.8727436661720276,6.25e-08
0.6115668416023254,0.776760458946228,0.3478676378726959,0.8745487332344055,6.25e-08
0.5872001051902771,0.788741946220398,0.3440609574317932,0.8772563338279724,3.125e-08
